dataset_name,LinearModel__absperf,RandomForest__absperf,XGBoost__absperf,rtdl_FTTransformer__absperf,rtdl_MLP__absperf,rtdl_ResNet__absperf
openml__Amazon_employee_access__34539,1.0,1.0,1.0,1.0,1.0,1.0
openml__Australian__146818,1.0,1.0,0.0,0.0,1.0,0.0
openml__GesturePhaseSegmentationProcessed__14969,0.0,0.0,0.0,0.0,0.0,0.0
openml__JapaneseVowels__3510,1.0,0.0,1.0,1.0,1.0,1.0
openml__LED-display-domain-7digit__125921,0.0,0.0,0.0,0.0,0.0,0.0
openml__MagicTelescope__3954,0.0,0.0,1.0,1.0,1.0,1.0
openml__MiceProtein__146800,1.0,1.0,1.0,0.0,0.0,1.0
openml__PhishingWebsites__14952,1.0,1.0,1.0,1.0,1.0,1.0
openml__Satellite__167211,1.0,1.0,1.0,1.0,1.0,1.0
openml__SpeedDating__146607,1.0,1.0,0.0,1.0,1.0,1.0
openml__acute-inflammations__10089,1.0,1.0,1.0,1.0,1.0,1.0
openml__ada_agnostic__3896,1.0,0.0,0.0,1.0,1.0,0.0
openml__adult-census__3953,0.0,1.0,1.0,0.0,1.0,0.0
openml__adult__7592,0.0,1.0,1.0,0.0,1.0,0.0
openml__airlines__189354,0.0,0.0,0.0,0.0,0.0,0.0
openml__analcatdata_authorship__3549,1.0,1.0,1.0,1.0,1.0,1.0
openml__analcatdata_boxing1__3540,0.0,0.0,0.0,0.0,0.0,0.0
openml__analcatdata_chlamydia__3739,1.0,1.0,1.0,1.0,1.0,1.0
openml__analcatdata_dmft__3560,0.0,0.0,0.0,0.0,0.0,0.0
openml__anneal__2867,0.0,1.0,1.0,0.0,0.0,1.0
openml__arrhythmia__5,0.0,0.0,0.0,0.0,0.0,0.0
openml__artificial-characters__14964,0.0,0.0,0.0,0.0,0.0,0.0
openml__audiology__7,0.0,0.0,0.0,0.0,0.0,0.0
openml__autos__9,0.0,0.0,0.0,0.0,0.0,0.0
openml__balance-scale__11,1.0,0.0,0.0,1.0,1.0,1.0
openml__bank-marketing__14965,1.0,1.0,1.0,1.0,1.0,1.0
openml__bank-marketing__9899,1.0,1.0,1.0,1.0,1.0,1.0
openml__banknote-authentication__10093,1.0,1.0,1.0,1.0,1.0,1.0
openml__blood-transfusion-service-center__10101,0.0,0.0,0.0,0.0,0.0,0.0
openml__breast-cancer__145799,0.0,0.0,0.0,0.0,0.0,0.0
openml__breast-w__15,1.0,1.0,1.0,1.0,1.0,1.0
openml__car-evaluation__146192,1.0,1.0,1.0,0.0,0.0,1.0
openml__car__146821,0.0,0.0,1.0,0.0,0.0,1.0
openml__chess__3952,0.0,0.0,0.0,0.0,0.0,0.0
openml__churn__167141,1.0,1.0,1.0,1.0,1.0,1.0
